Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
"When an attacker can guess a URL they don't know about, from another similar logical URL, what is that called?",multiple-choice,Unvalidated redirects.,Insecure direct object reference.,Under protected API's,CSRF.,,,2,"2013 A4 Insecure direct object reference. Users can access resources they shouldn't, by guessing the URL or path, often if it is logical. If you have access to a report names ending in financials_may2017.pdf on your organization's network, you can try guessing other file names you should not have access to financials_August.pdf or financials_2017.pdf Mitigated by proper access control, using non-sequential names or monitoring file usage.",CBK 8: Software Development Security
"We have just signed a contract with a vendor for a Software as a service (SaaS) implementation. Where does our responsibility start, and the vendors responsibility stop?",multiple-choice,A: After the application.,B: Between security and application.,C: Between virtualization and OS.,D: Between storage and servers.,,,1,"In Software as a service (SaaS), the vendor provides everything including the applications and programs. We would provide the data for the applications.",CBK 8: Software Development Security
What is the difference between freeware and shareware?,multiple-choice,"Freeware is free with no time restrictions, shareware is free for a limited amount of time.","Freeware is free for a limited amount of time, shareware is free with no time restrictions.","They are the same thing, there is no difference.","Freeware is free forever, shareware you buy it, but you are allowed to share it.",,,1,"Freeware: Actually free software, it is free of charge to use. Shareware: Fully functional proprietary software that is initially free to use. Often for trials to test the software, after 30 days you have to pay to continue to use.",CBK 8: Software Development Security
Which of these is NOT a type of open-source software licensing?,multiple-choice,GNU.,BSD.,Apache.,Oracle.,,,4,"Open source software can be protected by a variety of licensing agreement. GNU (General Public License), BSD (Berkeley Software Distribution) and Apache are all examples of this.",CBK 8: Software Development Security
Which type of software development uses programming pairs?,multiple-choice,Scrum.,XP.,Waterfall.,Agile.,,,2,"XP (Extreme programming) uses programming in pairs or doing extensive code review. Intended to improve software quality and responsiveness to changing customer requirements. Uses advocates frequent releases in short development cycles, intended to improve productivity and introduce checkpoints at which new customer requirements can be adopted.",CBK 8: Software Development Security
Jane is using the Scrum project management methodology. Which of these would be some of the core team roles in the Scrum framework? (Select all that apply).,multi-select,The product owner.,The project manager.,The project sponsor.,The development team.,The Scrum master.,,"1,4,5","Scrum is a framework for managing software development. Scrum is designed for teams of approximately 10 individuals, and generally relies on two-week development cycles, called ""sprints"", as well as short daily stand-up meetings. The three core roles in the Scrum framework. The product owner: Representing the product's stakeholders, the voice of the customer, and is accountable for ensuring that the team delivers value to the business. Development team: Responsible for delivering the product at the end of each sprint (sprint goal). The team is made up of 3–9 individuals who do the actual work (analysis, design, develop, test, technical communication, document, etc.). Scrum master: Facilitates and accountable for removing impediments to the ability of the team to deliver the product goals and deliverables. Not a traditional team lead or project manager but acts as a buffer between the team and any distracting influences. The scrum master ensures that the Scrum framework is followed.",CBK 8: Software Development Security
Which of these is NOT an example of broken authentication or session management (OWASP A2)?,multiple-choice,Session never expires.,Session IDs are predictable.,Session IDs are pseudo random.,Session IDs are kept in plaintext.,,,3,"A2 Broken Authentication and Session Management. Sessions do not expire or take too long to expire. Session IDs are predictable. 001, 002, 003, 004, etc. Tokens, session IDs, Passwords, etc., are kept in plaintext. Pseudo random session IDs would be a broken authentication counter measure.",CBK 8: Software Development Security
What is happening when we experience buffer overflows?,multiple-choice,We are not using SSL/TLS.,User session IDs or tokens are stolen.,The buffer overruns its boundaries and overwrites adjacent hard disk locations.,The buffer overruns its boundaries and overwrites adjacent memory locations.,,,4,"Buffer overflow (buffer overrun): An anomaly where a program, while writing data to a buffer, overruns the buffer's boundary and overwrites adjacent memory locations, happen from improper coding when a programmer fails to perform bounds checking. Buffers are areas of memory set aside to hold data, often while moving it from one section of a program to another, or between programs. Buffer overflows can often be triggered by malformed inputs, if one assumes all inputs will be smaller than a certain size and the buffer is created to be that size, if an anomalous transaction produces more data it could cause it to write past the end of the buffer. If this overwrites adjacent data or executable code, this may result in erratic program behavior, including memory access errors, incorrect results, and crashes. By sending in data designed to cause a buffer overflow, it is possible to write into areas known to hold executable code, and replace it with malicious code.",CBK 8: Software Development Security
"When you discover a software vulnerability, you notify the vendor of the vulnerability for them to fix it. What is the term used for this?",multiple-choice,Full disclosure.,Partial disclosure.,No disclosure.,Predictable disclosure.,,,2,"Responsible/Partial disclosure: Telling the vendor, they have time to develop a patch and then disclose it. If they do nothing we can revert to the full disclosure forcing them to act.",CBK 8: Software Development Security
"In software acceptance testing, what is the purpose of production acceptance testing?",multiple-choice,"To ensure the backups are in place, we have a DR plan, how patching is handled and that the software is tested for vulnerabilities.","To ensure the software is as secure or more secure than the rules, laws and regulations of our industry.",To ensure the software perform as expected in our live environment vs. our development environment.,To ensure the software is functional for and tested by the end user and the application manager.,,,3,Compatibility/production testing: Does the software interface as expected with other applications or systems? Does the software perform as expected in our production environment vs. the development environment,CBK 8: Software Development Security
